"CODIGO","MARCA","FECHA","HORA","DIA"
"Z9A0B","ASUS","2/6/2024","13:00","Tuesday"
"C1D2E","Acer","2/5/2024","15:00","Monday"
"F3G4H","HP","2/6/2024","11:00","Tuesday"
"I5J6K","Dell","2/7/2024","14:00","Wednesday"
"L7M8N","Lenovo","2/8/2024","16:00","Thursday"
"O9P0Q","Apple","2/9/2024","8:00","Friday"
"R1S2T","ASUS","2/10/2024","11:00","Saturday"
"U3V4W","Acer","2/16/2024","13:00","Friday"
"X5Y6Z","HP","2/12/2024","10:00","Monday"
"A7B8C","Dell","2/13/2024","12:00","Tuesday"
"D9E0F","Lenovo","2/14/2024","14:00","Wednesday"
"G1H2I","Apple","2/15/2024","9:00","Thursday"
"J3K4L","ASUS","2/16/2024","11:00","Friday"
"M5N6O","Acer","2/17/2024","15:00","Saturday"
"P7Q8R","HP","2/19/2024","8:00","Monday"
"S9T0U","Dell","2/19/2024","10:00","Monday"
"V1W2X","Lenovo","2/20/2024","12:00","Tuesday"
"Y3Z4A","Apple","2/21/2024","9:00","Wednesday"
"B5C6D","ASUS","2/22/2024","11:00","Thursday"
"E7F8G","Acer","2/23/2024","14:00","Friday"
"H9I0J","HP","2/24/2024","16:00","Saturday"
"K1L2M","Dell","2/29/2024","8:00","Thursday"
"N3O4P","Lenovo","2/26/2024","11:00","Monday"
"Q5R6S","Apple","2/27/2024","13:00","Tuesday"
"T7U8V","ASUS","2/28/2024","15:00","Wednesday"
"W9X0Y","Acer","2/29/2024","9:00","Thursday"
"Z1A2B","HP","3/1/2024","11:00","Friday"
"C3D4E","Dell","3/2/2024","14:00","Saturday"
"F5G6H","Lenovo","3/14/2024","16:00","Thursday"
"I7J8K","Apple","3/4/2024","8:00","Monday"
"L9M0N","ASUS","3/5/2024","10:00","Tuesday"
"O1P2Q","Acer","3/6/2024","12:00","Wednesday"
"R3S4T","HP","3/7/2024","9:00","Thursday"
"U5V6W","Dell","3/8/2024","13:00","Friday"
"X7Y8Z","Lenovo","3/9/2024","15:00","Saturday"
"A9B0C","Apple","3/9/2024","8:00","Saturday"
"D1E2F","ASUS","3/11/2024","11:00","Monday"
"G3H4I","Acer","3/12/2024","13:00","Tuesday"
"J5K6L","HP","3/13/2024","10:00","Wednesday"
"M7N8O","Dell","3/14/2024","12:00","Thursday"
"P9Q0R","Lenovo","3/15/2024","14:00","Friday"
"S1T2U","Apple","3/16/2024","8:00","Saturday"
"V3W4X","ASUS","3/15/2024","11:00","Friday"
"Y5Z6A","Acer","3/18/2024","13:00","Monday"
"B7C8D","HP","3/19/2024","9:00","Tuesday"
"E9F0G","Dell","3/20/2024","12:00","Wednesday"
"H1I2J","Lenovo","3/21/2024","14:00","Thursday"
"K3L4M","Apple","3/22/2024","16:00","Friday"
"N5O6P","ASUS","3/23/2024","9:00","Saturday"
"Q7R8S","Acer","3/26/2024","11:00","Tuesday"
"T9U0V","HP","3/25/2024","13:00","Monday"
"W1X2Y","Dell","3/26/2024","15:00","Tuesday"
"Z3A4B","Lenovo","3/27/2024","8:00","Wednesday"
"C5D6E","Apple","3/28/2024","10:00","Thursday"
"F7G8H","ASUS","3/29/2024","12:00","Friday"
"I9J0K","Acer","3/30/2024","15:00","Saturday"
"L1M2N","HP","3/30/2024","9:00","Saturday"
"O3P4Q","Dell","4/1/2024","11:00","Monday"
"R5S6T","Lenovo","4/2/2024","14:00","Tuesday"
"U7V8W","Apple","4/3/2024","16:00","Wednesday"
"X9Y0Z","ASUS","4/4/2024","9:00","Thursday"
"A1B2C","Acer","4/5/2024","12:00","Friday"
"D3E4F","HP","4/6/2024","14:00","Saturday"
"G5H6I","Dell","4/5/2024","16:00","Friday"
"J7K8L","Lenovo","4/8/2024","8:00","Monday"
"M9N0P","Apple","4/9/2024","10:00","Tuesday"
"Q1R2S","ASUS","4/10/2024","12:00","Wednesday"
"T3U4V","Acer","4/11/2024","15:00","Thursday"
"W5X6Y","HP","4/12/2024","9:00","Friday"
"Z7A8B","Dell","4/13/2024","11:00","Saturday"
"C9D0E","Lenovo","4/9/2024","13:00","Tuesday"
"F1G2H","Apple","4/15/2024","16:00","Monday"
"I3J4K","ASUS","4/16/2024","8:00","Tuesday"
"L5M6N","Acer","4/17/2024","10:00","Wednesday"
"O7P8Q","HP","4/18/2024","13:00","Thursday"
"R9S0T","Dell","4/19/2024","15:00","Friday"
"U1V2W","Lenovo","4/20/2024","9:00","Saturday"
"X3Y4Z","Apple","4/2/2024","11:00","Tuesday"
"A5B6C","ASUS","4/22/2024","14:00","Monday"
"D7E8F","Acer","4/23/2024","16:00","Tuesday"
"G9H0I","HP","4/24/2024","8:00","Wednesday"
"J1K2L","Dell","4/25/2024","11:00","Thursday"
"M3N4O","Lenovo","4/26/2024","13:00","Friday"
"P5Q6R","Apple","4/27/2024","15:00","Saturday"
"S7T8U","ASUS","4/25/2024","9:00","Thursday"
"V9W0X","Acer","4/29/2024","11:00","Monday"
"Y1Z2A","HP","4/30/2024","13:00","Tuesday"
"B3C4D","Dell","5/1/2024","16:00","Wednesday"
"E5F6G","Lenovo","5/2/2024","8:00","Thursday"
"H7I8J","Apple","5/3/2024","10:00","Friday"
"K9L0M","ASUS","5/4/2024","12:00","Saturday"
"N1O2P","Acer","5/6/2024","9:00","Monday"
"Q3R4S","HP","5/6/2024","11:00","Monday"
"T5U6V","Dell","5/7/2024","13:00","Tuesday"
"W7X8Y","Lenovo","5/8/2024","16:00","Wednesday"
"Z9A0B","Apple","5/9/2024","8:00","Thursday"
"C1D2E","ASUS","5/10/2024","10:00","Friday"
"F3G4H","Acer","5/11/2024","13:00","Saturday"
"I5J6K","HP","5/11/2024","15:00","Saturday"
"L7M8N","Dell","5/13/2024","9:00","Monday"
"O9P0Q","Lenovo","5/14/2024","12:00","Tuesday"
"R1S2T","Apple","5/15/2024","14:00","Wednesday"
"U3V4W","ASUS","5/16/2024","16:00","Thursday"
"X5Y6Z","Acer","5/17/2024","9:00","Friday"
"A7B8C","HP","5/18/2024","11:00","Saturday"
"D9E0F","Dell","5/20/2024","13:00","Monday"
"G1H2I","Lenovo","5/20/2024","16:00","Monday"
"J3K4L","Apple","5/21/2024","8:00","Tuesday"
"M5N6O","ASUS","5/22/2024","10:00","Wednesday"
"P7Q8R","Acer","5/23/2024","12:00","Thursday"
"S9T0U","HP","5/24/2024","15:00","Friday"
"V1W2X","Dell","5/25/2024","9:00","Saturday"
"Y3Z4A","Lenovo","5/27/2024","11:00","Monday"
"B5C6D","Apple","5/27/2024","14:00","Monday"
"E7F8G","ASUS","5/28/2024","16:00","Tuesday"
"H9I0J","Acer","5/29/2024","9:00","Wednesday"
"K1L2M","HP","5/30/2024","11:00","Thursday"
"N3O4P","Dell","5/31/2024","13:00","Friday"
"Q5R6S","Lenovo","6/1/2024","16:00","Saturday"
"T7U8V","Apple","6/23/2024","8:00","Sunday"
"W9X0Y","ASUS","6/3/2024","10:00","Monday"
"Z1A2B","Acer","6/4/2024","13:00","Tuesday"
"C3D4E","HP","6/5/2024","15:00","Wednesday"
"F5G6H","Dell","6/6/2024","9:00","Thursday"
"I7J8K","Lenovo","6/7/2024","12:00","Friday"
"L9M0N","Apple","6/8/2024","14:00","Saturday"
"O1P2Q","ASUS","6/19/2024","16:00","Wednesday"
"R3S4T","Acer","6/10/2024","9:00","Monday"
"U5V6W","HP","6/11/2024","11:00","Tuesday"
"X7Y8Z","Dell","6/12/2024","13:00","Wednesday"
"A9B0C","Lenovo","6/13/2024","16:00","Thursday"
"D1E2F","Apple","6/14/2024","8:00","Friday"
"G3H4I","ASUS","6/15/2024","10:00","Saturday"
"J5K6L","Acer","6/15/2024","12:00","Saturday"
"M7N8O","HP","6/17/2024","15:00","Monday"
"P9Q0R","Dell","6/18/2024","9:00","Tuesday"
"S1T2U","Lenovo","6/19/2024","11:00","Wednesday"
"V3W4X","Apple","6/20/2024","14:00","Thursday"
"Y5Z6A","ASUS","6/21/2024","16:00","Friday"
"B7C8D","Acer","6/22/2024","9:00","Saturday"
"E9F0G","HP","6/20/2024","11:00","Thursday"
"H1I2J","Dell","6/24/2024","13:00","Monday"
"K3L4M","Lenovo","6/25/2024","16:00","Tuesday"
"N5O6P","Apple","6/26/2024","8:00","Wednesday"
"Q7R8S","ASUS","6/27/2024","10:00","Thursday"
"T9U0V","Acer","6/28/2024","13:00","Friday"
"W1X2Y","HP","6/29/2024","15:00","Saturday"
"Z3A4B","Dell","6/30/2024","9:00","Sunday"
"C5D6E","Lenovo","4/1/2024","12:00","Monday"
"F7G8H","Apple","4/2/2024","14:00","Tuesday"
"I9J0K","ASUS","4/3/2024","16:00","Wednesday"
"L1M2N","Acer","4/4/2024","8:00","Thursday"
"O3P4Q","HP","4/5/2024","10:00","Friday"
"R5S6T","Dell","4/6/2024","12:00","Saturday"
"U7V8W","Lenovo","4/5/2024","15:00","Friday"
"X9Y0Z","Apple","4/8/2024","9:00","Monday"
"A1B2C","ASUS","4/9/2024","11:00","Tuesday"
"D3E4F","Acer","4/10/2024","14:00","Wednesday"
"G5H6I","HP","4/11/2024","16:00","Thursday"
"J7K8L","Dell","4/12/2024","8:00","Friday"
"M9N0P","Lenovo","4/13/2024","10:00","Saturday"
"Q1R2S","Apple","4/9/2024","13:00","Tuesday"
"T3U4V","ASUS","4/15/2024","15:00","Monday"
"W5X6Y","Acer","4/16/2024","8:00","Tuesday"
"Z7A8B","HP","4/17/2024","11:00","Wednesday"
"C9D0E","Dell","4/18/2024","13:00","Thursday"
"F1G2H","Lenovo","4/19/2024","15:00","Friday"
"I3J4K","Apple","4/20/2024","9:00","Saturday"
"L5M6N","ASUS","4/2/2024","11:00","Tuesday"
"O7P8Q","Acer","4/22/2024","13:00","Monday"
"R9S0T","HP","4/23/2024","16:00","Tuesday"
"U1V2W","Dell","4/24/2024","8:00","Wednesday"
"X3Y4Z","Lenovo","4/25/2024","10:00","Thursday"
"A5B6C","Apple","4/26/2024","12:00","Friday"
"D7E8F","ASUS","4/27/2024","15:00","Saturday"
"G9H0I","Acer","4/25/2024","8:00","Thursday"
"J1K2L","HP","4/29/2024","10:00","Monday"
"M3N4O","Dell","4/30/2024","13:00","Tuesday"
"P5Q6R","Lenovo","5/1/2024","15:00","Wednesday"
"S7T8U","Apple","5/2/2024","9:00","Thursday"
"V9W0X","ASUS","5/3/2024","12:00","Friday"
"Y1Z2A","Acer","5/4/2024","14:00","Saturday"
"B3C4D","HP","5/6/2024","16:00","Monday"
"E5F6G","Dell","5/6/2024","9:00","Monday"
"H7I8J","Lenovo","5/7/2024","11:00","Tuesday"
"K9L0M","Apple","5/8/2024","13:00","Wednesday"
"N1O2P","ASUS","5/9/2024","16:00","Thursday"
"Q3R4S","Acer","5/10/2024","8:00","Friday"
"T5U6V","HP","5/11/2024","10:00","Saturday"
"W7X8Y","Dell","5/11/2024","13:00","Saturday"
"Z9A0B","Lenovo","5/13/2024","15:00","Monday"
"C1D2E","Apple","5/14/2024","9:00","Tuesday"
"F3G4H","ASUS","5/15/2024","11:00","Wednesday"
"I5J6K","Acer","5/16/2024","14:00","Thursday"
"L7M8N","HP","5/17/2024","16:00","Friday"
"O9P0Q","Dell","5/18/2024","8:00","Saturday"
"R1S2T","Lenovo","5/20/2024","11:00","Monday"
"U3V4W","Apple","5/20/2024","13:00","Monday"
"X5Y6Z","ASUS","5/21/2024","15:00","Tuesday"
"A7B8C","Acer","5/22/2024","9:00","Wednesday"
"D9E0F","HP","5/23/2024","11:00","Thursday"
"G1H2I","Dell","5/24/2024","13:00","Friday"
"J3K4L","Lenovo","5/25/2024","16:00","Saturday"
"M5N6O","Apple","5/27/2024","8:00","Monday"
"P7Q8R","ASUS","5/27/2024","10:00","Monday"
"S9T0U","Acer","5/28/2024","13:00","Tuesday"
"V1W2X","HP","5/29/2024","15:00","Wednesday"
"Y3Z4A","Dell","5/30/2024","9:00","Thursday"
"B5C6D","Lenovo","5/31/2024","11:00","Friday"
"E7F8G","Apple","6/1/2024","14:00","Saturday"
"H9I0J","ASUS","6/23/2024","16:00","Sunday"
"K1L2M","Acer","6/3/2024","8:00","Monday"
"N3O4P","HP","6/4/2024","11:00","Tuesday"
"Q5R6S","Dell","6/5/2024","13:00","Wednesday"
"T7U8V","Lenovo","6/6/2024","15:00","Thursday"
"W9X0Y","Apple","6/7/2024","9:00","Friday"
"Z1A2B","ASUS","6/8/2024","11:00","Saturday"
"C3D4E","Acer","6/19/2024","13:00","Wednesday"
"F5G6H","HP","6/10/2024","16:00","Monday"
"I7J8K","Dell","6/11/2024","8:00","Tuesday"
"L9M0N","Lenovo","6/12/2024","10:00","Wednesday"
"O1P2Q","Apple","6/13/2024","12:00","Thursday"
"R3S4T","ASUS","6/14/2024","15:00","Friday"
"U5V6W","Acer","6/15/2024","9:00","Saturday"
"X7Y8Z","HP","6/15/2024","11:00","Saturday"
"A9B0C","Dell","6/17/2024","14:00","Monday"
"D1E2F","Lenovo","4/1/2024","16:00","Monday"
"G3H4I","Apple","4/2/2024","8:00","Tuesday"
"J5K6L","ASUS","4/3/2024","11:00","Wednesday"
"M7N8O","Acer","4/4/2024","13:00","Thursday"
"P9Q0R","HP","4/5/2024","15:00","Friday"
"S1T2U","Dell","4/6/2024","9:00","Saturday"
"V3W4X","Lenovo","4/5/2024","12:00","Friday"
"Y5Z6A","Apple","4/8/2024","14:00","Monday"
"B7C8D","ASUS","4/9/2024","16:00","Tuesday"
"E9F0G","Acer","4/10/2024","9:00","Wednesday"
"H1I2J","HP","4/11/2024","11:00","Thursday"
"K3L4M","Dell","4/12/2024","13:00","Friday"
"N5O6P","Lenovo","4/13/2024","16:00","Saturday"
"Q7R8S","Apple","4/9/2024","8:00","Tuesday"
"T9U0V","ASUS","4/15/2024","10:00","Monday"
"W1X2Y","Acer","4/16/2024","13:00","Tuesday"
"Z3A4B","HP","4/17/2024","15:00","Wednesday"
"C5D6E","Dell","4/18/2024","9:00","Thursday"
"F7G8H","Lenovo","4/19/2024","11:00","Friday"
"I9J0K","Apple","4/20/2024","14:00","Saturday"
"L1M2N","ASUS","4/2/2024","16:00","Tuesday"
"O3P4Q","Acer","4/22/2024","8:00","Monday"
"R5S6T","HP","4/23/2024","11:00","Tuesday"
"U7V8W","Dell","4/24/2024","13:00","Wednesday"
"X9Y0Z","Lenovo","4/25/2024","15:00","Thursday"
"A1B2C","Apple","4/26/2024","9:00","Friday"
"D3E4F","ASUS","4/27/2024","11:00","Saturday"
"G5H6I","Acer","4/25/2024","13:00","Thursday"
"J7K8L","HP","4/29/2024","16:00","Monday"
"M9N0P","Dell","4/30/2024","8:00","Tuesday"
"Q1R2S","Lenovo","5/1/2024","10:00","Wednesday"
"T3U4V","Apple","5/2/2024","12:00","Thursday"
"W5X6Y","ASUS","5/3/2024","15:00","Friday"
"Z7A8B","Acer","5/4/2024","9:00","Saturday"
"C9D0E","HP","5/6/2024","11:00","Monday"
"F1G2H","Dell","5/6/2024","14:00","Monday"
"I3J4K","Lenovo","5/7/2024","16:00","Tuesday"
"L5M6N","Apple","5/8/2024","8:00","Wednesday"
"O7P8Q","ASUS","5/9/2024","11:00","Thursday"
"R9S0T","Acer","5/10/2024","13:00","Friday"
"U1V2W","HP","5/11/2024","15:00","Saturday"
"X3Y4Z","Dell","5/11/2024","9:00","Saturday"
"A5B6C","Lenovo","5/13/2024","11:00","Monday"
"D7E8F","Apple","5/14/2024","13:00","Tuesday"
"G9H0I","ASUS","5/15/2024","16:00","Wednesday"
"J1K2L","Acer","5/16/2024","8:00","Thursday"
"M3N4O","HP","5/17/2024","10:00","Friday"
"P5Q6R","Dell","5/18/2024","12:00","Saturday"
"S7T8U","Lenovo","5/20/2024","15:00","Monday"
"V9W0X","Apple","5/20/2024","9:00","Monday"
"Y1Z2A","ASUS","5/21/2024","11:00","Tuesday"
"B3C4D","Acer","5/22/2024","14:00","Wednesday"
"E5F6G","HP","5/23/2024","16:00","Thursday"
"H7I8J","Dell","5/24/2024","8:00","Friday"
"K9L0M","Lenovo","5/25/2024","11:00","Saturday"
"N1O2P","Apple","5/27/2024","13:00","Monday"
"Q3R4S","ASUS","5/27/2024","15:00","Monday"
"T5U6V","Acer","5/28/2024","9:00","Tuesday"
"W7X8Y","HP","5/29/2024","11:00","Wednesday"
"Z9A0B","Dell","5/30/2024","13:00","Thursday"
"C1D2E","Lenovo","5/31/2024","16:00","Friday"
"F3G4H","Apple","6/1/2024","8:00","Saturday"
"I5J6K","ASUS","6/23/2024","10:00","Sunday"
"L7M8N","Acer","6/3/2024","12:00","Monday"
"O9P0Q","HP","6/4/2024","15:00","Tuesday"
"R1S2T","Dell","6/5/2024","9:00","Wednesday"
"U3V4W","Lenovo","6/6/2024","11:00","Thursday"
"X5Y6Z","Apple","6/7/2024","14:00","Friday"
"A7B8C","ASUS","6/8/2024","16:00","Saturday"
"D9E0F","Acer","6/19/2024","8:00","Wednesday"
"G1H2I","HP","6/10/2024","11:00","Monday"
"J3K4L","Dell","6/11/2024","13:00","Tuesday"
"M5N6O","Lenovo","6/12/2024","15:00","Wednesday"
"P7Q8R","Apple","6/13/2024","9:00","Thursday"
"S9T0U","ASUS","6/14/2024","11:00","Friday"
"V1W2X","Acer","6/15/2024","13:00","Saturday"
"Y3Z4A","HP","6/15/2024","16:00","Saturday"
"B5C6D","Dell","6/17/2024","8:00","Monday"
"E7F8G","Lenovo","6/18/2024","10:00","Tuesday"
"H9I0J","Apple","6/19/2024","12:00","Wednesday"
"K1L2M","ASUS","6/20/2024","15:00","Thursday"
"N3O4P","Acer","6/21/2024","9:00","Friday"
"Q5R6S","HP","6/22/2024","11:00","Saturday"
"T7U8V","Dell","6/20/2024","14:00","Thursday"
"W9X0Y","Lenovo","6/24/2024","16:00","Monday"
"Z1A2B","Apple","4/1/2024","8:00","Monday"
"C3D4E","ASUS","4/2/2024","11:00","Tuesday"
"F5G6H","Acer","4/3/2024","13:00","Wednesday"
"I7J8K","HP","4/4/2024","15:00","Thursday"
"L9M0N","Dell","4/5/2024","9:00","Friday"
"O1P2Q","Lenovo","4/6/2024","11:00","Saturday"
"R3S4T","Apple","4/5/2024","13:00","Friday"
"U5V6W","ASUS","4/8/2024","16:00","Monday"
"X7Y8Z","Acer","4/9/2024","8:00","Tuesday"
"A9B0C","HP","4/10/2024","10:00","Wednesday"
"D1E2F","Dell","4/11/2024","12:00","Thursday"
"G3H4I","Lenovo","4/12/2024","15:00","Friday"
"J5K6L","Apple","4/13/2024","9:00","Saturday"
"M7N8O","ASUS","4/9/2024","11:00","Tuesday"
"P9Q0R","Acer","4/15/2024","14:00","Monday"
"S1T2U","HP","4/16/2024","16:00","Tuesday"
"V3W4X","Dell","4/17/2024","8:00","Wednesday"
"Y5Z6A","Lenovo","4/18/2024","11:00","Thursday"
"B7C8D","Apple","4/19/2024","13:00","Friday"
"E9F0G","ASUS","4/20/2024","15:00","Saturday"
"A1B2C","HP","1/1/2024","8:00","Monday"
"D3E4F","Dell","1/2/2024","10:00","Tuesday"
"G5H6I","Lenovo","1/3/2024","13:00","Wednesday"
"J7K8L","Apple","1/4/2024","9:00","Thursday"
"M9N0P","ASUS","1/5/2024","11:00","Friday"
"Q1R2S","Acer","1/6/2024","14:00","Saturday"
"T3U4V","HP","1/8/2024","16:00","Monday"
"W5X6Y","Dell","1/8/2024","8:00","Monday"
"Z7A8B","Lenovo","1/9/2024","12:00","Tuesday"
"C9D0E","Apple","1/10/2024","10:00","Wednesday"
"F1G2H","ASUS","1/11/2024","15:00","Thursday"
"I3J4K","Acer","1/12/2024","11:00","Friday"
"L5M6N","HP","1/13/2024","9:00","Saturday"
"O7P8Q","Dell","1/17/2024","14:00","Wednesday"
"R9S0T","Lenovo","1/15/2024","16:00","Monday"
"U1V2W","Apple","1/16/2024","10:00","Tuesday"
"X3Y4Z","ASUS","1/17/2024","13:00","Wednesday"
"A5B6C","Acer","1/18/2024","15:00","Thursday"
"D7E8F","HP","1/19/2024","11:00","Friday"
"G9H0I","Dell","1/20/2024","9:00","Saturday"
"J1K2L","Lenovo","1/24/2024","12:00","Wednesday"
"M3N4O","Apple","1/22/2024","14:00","Monday"
"P5Q6R","ASUS","1/23/2024","8:00","Tuesday"
"S7T8U","Acer","1/24/2024","11:00","Wednesday"
"V9W0X","HP","1/25/2024","13:00","Thursday"
"Y1Z2A","Dell","1/26/2024","15:00","Friday"
"B3C4D","Lenovo","1/27/2024","9:00","Saturday"
"E5F6G","Apple","1/29/2024","11:00","Monday"
"H7I8J","ASUS","1/29/2024","14:00","Monday"
"K9L0M","Acer","1/30/2024","16:00","Tuesday"
"N1O2P","HP","1/31/2024","8:00","Wednesday"
"Q3R4S","Dell","2/1/2024","10:00","Thursday"
"T5U6V","Lenovo","2/2/2024","12:00","Friday"
"W7X8Y","Apple","2/3/2024","9:00","Saturday"
"Z9A0B","ASUS","2/9/2024","13:00","Friday"
"C1D2E","Acer","2/5/2024","15:00","Monday"
"F3G4H","HP","2/6/2024","11:00","Tuesday"
"I5J6K","Dell","2/7/2024","14:00","Wednesday"
"L7M8N","Lenovo","2/8/2024","16:00","Thursday"
"O9P0Q","Apple","2/9/2024","8:00","Friday"
"R1S2T","ASUS","2/10/2024","11:00","Saturday"
"U3V4W","Acer","2/19/2024","13:00","Monday"
"X5Y6Z","HP","2/12/2024","10:00","Monday"
"A7B8C","Dell","2/13/2024","12:00","Tuesday"
"D9E0F","Lenovo","2/14/2024","14:00","Wednesday"
"G1H2I","Apple","2/15/2024","9:00","Thursday"
"J3K4L","ASUS","2/16/2024","11:00","Friday"
"M5N6O","Acer","2/17/2024","15:00","Saturday"
"P7Q8R","HP","2/19/2024","8:00","Monday"
"S9T0U","Dell","2/19/2024","10:00","Monday"
"V1W2X","Lenovo","2/20/2024","12:00","Tuesday"
"Y3Z4A","Apple","2/21/2024","9:00","Wednesday"
"B5C6D","ASUS","2/22/2024","11:00","Thursday"
"E7F8G","Acer","2/23/2024","14:00","Friday"
"H9I0J","HP","2/24/2024","16:00","Saturday"
"K1L2M","Dell","2/26/2024","8:00","Monday"
"N3O4P","Lenovo","2/26/2024","11:00","Monday"
"Q5R6S","Apple","2/27/2024","13:00","Tuesday"
"T7U8V","ASUS","2/28/2024","15:00","Wednesday"
"W9X0Y","Acer","2/29/2024","9:00","Thursday"
"A1B2C","HP","1/1/2024","8:00","Monday"
